Parameters2018DEF;AOSstorage;PhenoCalType;LowerLimit;UpperLimit;MinStep;TestRound;Plot1;Plot2;Plot3;Plot4;Plot5;Plot6;Plot7;Plot8;Plot9;Plot10;Plot11;Plot12;Plot13;Plot14;Plot15;Plot16;Plot17;Plot18;Plot19;Plot20;Plot21;Plot22;Plot23;Plot24;Plot25;Plot26;Plot27;Plot28;Plot29;Plot30;Plot31;Plot32
CDC;1;2;0.004;0.004;0.0001;1;-999;-999;-999;-999;-999;-999;-999;0.004;0.004;-999;-999;-999;0.004;0.004;-999;-999;-999;0.004;0.004;-999;-999;-999;-999;0.004;-999;-999;-999;-999;-999;-999;-999;-999
CGC;1;2;0.005;0.007;0.0001;1;-999;-999;-999;-999;-999;-999;-999;0.006;0.006;-999;-999;-999;0.006;0.006;-999;-999;-999;0.006;0.006;-999;-999;-999;-999;0.006;-999;-999;-999;-999;-999;-999;-999;-999
Emergence;1;1;8;17;1;1;-999;-999;-999;-999;-999;-999;-999;11;11;-999;-999;-999;11;11;-999;-999;-999;11;11;-999;-999;-999;-999;11;-999;-999;-999;-999;-999;-999;-999;-999
CCx;1;0;0.8;0.99;0.01;1;-999;-999;-999;-999;-999;-999;-999;0.83;0.85;-999;-999;-999;0.9;0.87;-999;-999;-999;0.88;0.88;-999;-999;-999;-999;0.9;-999;-999;-999;-999;-999;-999;-999;-999
Senescence;1;1;60;100;1;1;-999;-999;-999;-999;-999;-999;-999;-999;69;-999;-999;-999;83;73;-999;-999;-999;76;80;-999;-999;-999;-999;92;-999;-999;-999;-999;-999;-999;-999;-999
Maturity;1;1;80;100;1;1;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
SeedSize;1;1;1;2.75;0.01;1;-999;-999;-999;-999;-999;-999;-999;1.5;1.5;-999;-999;-999;1.5;1.5;-999;-999;-999;1.5;1.5;-999;-999;-999;-999;1.5;-999;-999;-999;-999;-999;-999;-999;-999
AppEff;4;0;40;70;1;2;-999;60;-999;-999;-999;-999;60;60;60;60;-999;60;60;60;-999;-999;60;60;60;60;60;-999;60;60;-999;-999;-999;-999;60;-999;-999;-999
REW;2;0;9;12;1;2;-999;11;-999;-999;-999;-999;11;11;11;11;-999;11;11;11;-999;-999;11;11;11;11;11;-999;11;11;-999;-999;-999;-999;11;-999;-999;-999
Ksat;3;0;163.2;621.6;1;2;-999;120;-999;-999;-999;-999;120;120;120;120;-999;120;120;120;-999;-999;120;120;120;120;120;-999;120;120;-999;-999;-999;-999;120;-999;-999;-999
Zmin;1;0;0.2;0.3;0.01;2;-999;0.3;-999;-999;-999;-999;0.3;0.3;0.3;0.3;-999;0.3;0.3;0.3;-999;-999;0.3;0.3;0.3;0.3;0.3;-999;0.3;0.3;-999;-999;-999;-999;0.3;-999;-999;-999
Zmax;1;0;1.5;1.8;0.01;2;-999;1.5;-999;-999;-999;-999;1.5;1.5;1.5;1.5;-999;1.5;1.5;1.5;-999;-999;1.5;1.5;1.5;1.5;1.5;-999;1.5;1.5;-999;-999;-999;-999;1.5;-999;-999;-999
MaxRooting;1;1;5;90;1;2;-999;52;-999;-999;-999;-999;52;52;52;52;-999;52;52;52;-999;-999;52;52;52;52;52;-999;52;52;-999;-999;-999;-999;52;-999;-999;-999
th_wp;3;0;0.078;0.188;0.001;2;-999;0.117;-999;-999;-999;-999;0.117;0.117;0.117;0.117;-999;0.117;0.117;0.117;-999;-999;0.117;0.117;0.117;0.117;0.117;-999;0.117;0.117;-999;-999;-999;-999;0.117;-999;-999;-999
th_fc;3;0;0.258;0.402;0.001;2;-999;0.306;-999;-999;-999;-999;0.306;0.306;0.306;0.306;-999;0.306;0.306;0.306;-999;-999;0.306;0.306;0.306;0.306;0.306;-999;0.306;0.306;-999;-999;-999;-999;0.306;-999;-999;-999
th_s;3;0;0.42;0.582;0.001;2;-999;0.42;-999;-999;-999;-999;0.42;0.42;0.42;0.42;-999;0.42;0.42;0.42;-999;-999;0.42;0.42;0.42;0.42;0.42;-999;0.42;0.42;-999;-999;-999;-999;0.42;-999;-999;-999
