Parameters2018EE;AOS_File;Unit;LowerLimit;UpperLimit;MinStep;TestRound;Lot1;Lot2;Lot3;Lot4;Lot5;Lot6;Lot7;Lot8;Lot9;Lot10;Lot11;Lot12;Lot13;Lot14;Lot15;Lot16;Lot17;Lot18;Lot19;Lot20;Lot21;Lot22;Lot23;Lot24;;;;;;;;
CDC;Crop;GDD;0.004;0.004;0.0001;1;-999;-999;-999;-999;-999;-999;-999;0.004;0.004;-999;-999;-999;0.004;0.004;-999;-999;-999;0.004;0.004;-999;-999;-999;-999;0.004;-999;-999;-999;-999;-999;-999;-999;-999
CGC;Crop;GDD;0.005;0.007;0.0001;1;-999;-999;-999;-999;-999;-999;-999;0.007;0.007;-999;-999;-999;0.007;0.007;-999;-999;-999;0.007;0.007;-999;-999;-999;-999;0.007;-999;-999;-999;-999;-999;-999;-999;-999
Emergence;Crop;CD;8;17;1;1;-999;-999;-999;-999;-999;-999;-999;8;8;-999;-999;-999;8;8;-999;-999;-999;8;8;-999;-999;-999;-999;8;-999;-999;-999;-999;-999;-999;-999;-999
CCx;Crop;NR;0.8;0.99;0.01;1;-999;-999;-999;-999;-999;-999;-999;0.93;0.93;-999;-999;-999;0.95;0.99;-999;-999;-999;0.96;0.98;-999;-999;-999;-999;0.97;-999;-999;-999;-999;-999;-999;-999;-999
Senescence;Crop;CD;60;100;1;1;-999;-999;-999;-999;-999;-999;-999;81;83;-999;-999;-999;80;78;-999;-999;-999;82;79;-999;-999;-999;-999;81;-999;-999;-999;-999;-999;-999;-999;-999
HIstart;Crop;CD;63;84;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
Flowering;Crop;CD;11;19;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
PlantPop;Crop;NR;2000000;7000000;1;1;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;;;;;;;;
SeedSize;Crop;CD;1;2.75;0.01;1;-999;-999;-999;-999;-999;-999;-999;1;1;-999;-999;-999;1;2.3;-999;-999;-999;1;1.2;-999;-999;-999;-999;1.1;-999;-999;-999;-999;-999;-999;-999;-999
AppEff;IrrigationManagement;NR;40;70;1;1;-999;65;-999;-999;-999;-999;65;70;70;70;-999;70;70;70;-999;-999;70;70;70;70;70;-999;70;60;-999;-999;-999;-999;70;-999;-999;-999
REW;Soil;NR;9;12;1;1;-999;9;-999;-999;-999;-999;12;9;9;9;-999;12;9;12;-999;-999;9;9;9;9;12;-999;9;9;-999;-999;-999;-999;11;-999;-999;-999
Ksat;SoilHydrology;NR;14.4;5040;1;1;-999;621;-999;-999;-999;-999;120;120;120;120;-999;621;621;600;-999;-999;621;621;120;120;120;-999;120;120;-999;-999;-999;-999;621;-999;-999;-999
Zmin;Crop;NR;0.2;0.3;0.01;1;-999;0.2;-999;-999;-999;-999;0.2;0.2;0.3;0.3;-999;0.3;0.3;0.3;-999;-999;0.2;0.3;0.3;0.3;0.3;-999;0.3;0.2;-999;-999;-999;-999;0.3;-999;-999;-999
Zmax;Crop;NR;1;1.8;0.01;1;-999;1.1;-999;-999;-999;-999;1.1;1.8;1.8;1.5;-999;1.8;1.8;1.1;-999;-999;1.1;1.1;1.1;1.8;1.8;-999;1.8;1.8;-999;-999;-999;-999;1.1;-999;-999;-999
MaxRooting;Crop;CD;5;90;1;1;-999;52;-999;-999;-999;-999;52;35;40;35;-999;35;40;52;-999;-999;50;40;40;35;40;-999;40;40;-999;-999;-999;-999;52;-999;-999;-999
th_wp;SoilHydrology;NR;0.007;0.336;0.001;1;-999;0.12;-999;-999;-999;-999;0.12;0.12;0.1;0.14;-999;0.078;0.14;0.16;-999;-999;0.17;0.16;0.13;0.17;0.078;-999;0.188;0.16;-999;-999;-999;-999;0.188;-999;-999;-999
th_fc;SoilHydrology;NR;0.018;0.466;0.001;1;-999;0.38;-999;-999;-999;-999;0.258;0.27;0.27;0.31;-999;0.26;0.37;0.33;-999;-999;0.29;0.35;0.29;0.32;0.28;-999;0.35;0.39;-999;-999;-999;-999;0.36;-999;-999;-999
th_s;SoilHydrology;NR;0.374;0.582;0.001;1;-999;0.55;-999;-999;-999;-999;0.42;0.52;0.52;0.52;-999;0.55;0.53;0.42;-999;-999;0.55;0.42;0.46;0.42;0.42;-999;0.42;0.44;-999;-999;-999;-999;0.42;-999;-999;-999
HI0;Crop;NR;0.45;0.5;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;
