Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 7;
SimDay;0.1
1;
14;0.044373104
15;0.047535309
16;0.045991425
17;0.058760726
18;0.051201258
19;0.050168582
20;0.163577703
21;0.160360114
22;0.137574521
23;0.122435434
24;0.116193429
25;0.104799624
26;0.093499678
27;0.0877673
28;0.08579578
29;0.081479329
30;0.085109877
31;0.073100976
32;0.073144955
33;0.132653423
34;0.014795732
35;0.014585083
36;0.128190169
37;0.126423582
38;0.111702873
39;0.104739525
40;0.098204416
41;0.091229251
42;0.08559139
43;0.077453338
44;0.315323589
45;0.309722384
46;0.263745623
47;0.240002715
48;0.210836454
49;0.188242566
50;0.172592403
51;0.161006146
52;0.148667784
53;0.137062606
54;0.126448116
55;0.120302782
56;0.113618946
57;0.103993531
58;0.094242639
59;0.161621296
60;0.291326589
61;0.287666722
62;0.258537665
