Parameters2019GLUE;AOS_File;Unit;LowerLimit;UpperLimit;MinStep;TestRound;Lot1;Lot2;Lot3;Lot4;Lot5;Lot6;Lot7;Lot8;Lot9;Lot10;Lot11;Lot12;Lot13;Lot14;Lot15;Lot16;Lot17;Lot18;Lot19;Lot20;Lot21;Lot22;Lot23;Lot24
CDC;Crop;GDD;0.004;0.004;0.0001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CGC;Crop;GDD;0.005;0.007;0.0001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Emergence;Crop;CD;6;16;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
CCx;Crop;NR;0.8;0.99;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Senescence;Crop;CD;66;118;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Maturity;Crop;CD;118;118;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HIstart;Crop;CD;66;89;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Flowering;Crop;CD;10;18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
PlantPop;Crop;NR;2000000;7000000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SeedSize;Crop;CD;1;2.75;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
AppEff;IrrigationManagement;NR;40;70;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
REW;Soil;NR;9;12;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Ksat;SoilHydrology;NR;14.4;5040;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Zmin;Crop;NR;0.2;0.3;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Zmax;Crop;NR;1;1.8;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
MaxRooting;Crop;CD;5;90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
th_wp;SoilHydrology;NR;0.007;0.336;0.001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
th_fc;SoilHydrology;NR;0.018;0.466;0.001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
th_s;SoilHydrology;NR;0.374;0.582;0.001;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
HI0;Crop;NR;0.45;0.5;0.01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
