Parameters2018GLUE;AOS_File;Unit;LowerLimit;UpperLimit;MinStep;TestRound
CDC;Crop;GDD;0.01;0.01;0.0001;1
CGC;Crop;GDD;0.012;0.013;0.0001;1
Emergence;Crop;CD;5;7;1;1
CCx;Crop;NR;0.65;0.99;0.01;1
Senescence;Crop;CD;75;94;1;1
HIstart;Crop;CD;46;55;1;1
Flowering;Crop;CD;11;14;1;1
SeedSize;Crop;NR;1.5;6.5;0.01;1
AppEff;IrrigationManagement;NR;72;80;1;1
REW;Soil;NR;8;9;1;1
Ksat;SoilHydrology;NR;500;11520;1;1
Zmin;Crop;NR;0.2;0.3;0.01;1
Zmax;Crop;NR;0.3;2.8;0.01;1
MaxRooting;Crop;CD;5;94;1;1
th_wp;SoilHydrology;NR;0.007;0.022;0.001;1
th_fc;SoilHydrology;NR;0.08;0.098;0.001;1
th_s;SoilHydrology;NR;0.429;0.435;0.001;1
HI0;Crop;NR;0.1;0.52;0.01;1
