Irrigation;2021;All Plots;
Day;Month;Year;Depth [mm]
15;12;2021;0.5
16;12;2021;0.5
17;12;2021;0.5
18;12;2021;0.5
19;12;2021;0.5
20;12;2021;1
21;12;2021;1
22;12;2021;1
23;12;2021;1
24;12;2021;1
25;12;2021;1
26;12;2021;1
27;12;2021;2
28;12;2021;2
29;12;2021;2
30;12;2021;2
31;12;2021;2
1;1;2022;2
2;1;2022;2
3;1;2022;2
4;1;2022;2
5;1;2022;2
6;1;2022;2
7;1;2022;2
8;1;2022;2
9;1;2022;2
10;1;2022;2
11;1;2022;2
12;1;2022;2
13;1;2022;2
14;1;2022;2
15;1;2022;2
16;1;2022;2
17;1;2022;2
18;1;2022;2
19;1;2022;3.5
20;1;2022;3.5
21;1;2022;3.5
22;1;2022;3.5
23;1;2022;3.5
24;1;2022;3.5
25;1;2022;3.5
26;1;2022;3.5
27;1;2022;3.5
28;1;2022;3.5
29;1;2022;3.5
30;1;2022;3.5
31;1;2022;3.5
1;2;2022;3.5
2;2;2022;3.5
3;2;2022;3.5
4;2;2022;3.5
5;2;2022;3.5
6;2;2022;3.5
7;2;2022;3.5
8;2;2022;3.5
9;2;2022;3.5
10;2;2022;3.5
11;2;2022;3.5
12;2;2022;3.5
13;2;2022;6.5
14;2;2022;6.5
15;2;2022;6.5
16;2;2022;6.5
17;2;2022;6.5
18;2;2022;6.5
19;2;2022;6.5
20;2;2022;6.5
21;2;2022;6.5
22;2;2022;6.5
23;2;2022;6.5
24;2;2022;6.5
25;2;2022;6.5
26;2;2022;6.5
27;2;2022;6.5
28;2;2022;6.5
1;3;2022;6.5
2;3;2022;6.5
3;3;2022;6.5
4;3;2022;6.5
5;3;2022;6.5
6;3;2022;6.5
7;3;2022;6.5
8;3;2022;6.5
9;3;2022;6.5
10;3;2022;6.5
11;3;2022;6.5
12;3;2022;6.5
13;3;2022;6.5
14;3;2022;6.5
15;3;2022;6.5
16;3;2022;6.5
17;3;2022;6.5
18;3;2022;6.5
19;3;2022;6.5
