ParametersGLUE;AOS_File;Unit;LowerLimit;UpperLimit;MinStep;TestRound
CDC;Crop;GDD;0.004;0.004;0.0001;1
CGC;Crop;GDD;0.005;0.007;0.0001;1
Emergence;Crop;CD;8;17;1;1
CCx;Crop;NR;0.8;0.99;0.01;1
Senescence;Crop;CD;60;100;1;1
HIstart;Crop;CD;63;84;1;1
Flowering;Crop;CD;11;19;1;1
PlantPop;Crop;NR;2000000;7000000;1;1
SeedSize;Crop;CD;1;2.75;0.01;1
AppEff;IrrigationManagement;NR;40;70;1;1
REW;Soil;NR;9;12;1;1
Ksat;SoilHydrology;NR;14.4;5040;1;1
Zmin;Crop;NR;0.2;0.3;0.01;1
Zmax;Crop;NR;1;1.8;0.01;1
MaxRooting;Crop;CD;5;90;1;1
th_wp;SoilHydrology;NR;0.007;0.336;0.001;1
th_fc;SoilHydrology;NR;0.018;0.466;0.001;1
th_s;SoilHydrology;NR;0.374;0.582;0.001;1
HI0;Crop;NR;0.45;0.5;0.01;1
