Measurement Input SWC - SWC depth [mm] (row 4:end) at Soil depth [m] (row 3) - Season 2018 - Plot 14;
SimDay;0.1
1;
14;0.046214286
15;0.043145833
16;0.041489583
17;0.042875
18;0.041270833
19;0.041270833
20;0.044583333
21;0.0431875
22;0.042572917
23;0.042364583
24;0.043322917
25;0.139539474
26;0.263263158
27;0.188083333
28;0.1563125
29;0.14071875
30;0.132645833
31;0.1316875
32;0.129583333
33;0.133864583
34;0.143260417
35;0.149822917
36;0.149666667
37;0.149197917
38;0.1451875
39;0.147645833
40;0.153145833
41;0.1520625
42;0.178468085
43;0.23334375
44;0.223
45;0.366260417
46;0.44778125
47;0.38134375
48;0.315552083
49;0.272322917
50;0.251291667
51;0.2365
52;0.225114583
53;0.214552083
54;0.199822917
55;0.1875625
56;0.174677083
57;0.1606875
58;0.1536875
59;0.144510417
60;0.351010417
61;0.447145833
62;0.378864583
63;0.32746875
64;0.292864583
65;0.2636875
66;0.234270833
67;0.214427083
68;0.199447917
69;0.18603125
70;0.178385417
71;0.172708333
72;0.166291667
73;0.162885417
74;0.2896875
75;0.41540625
76;0.472375
77;0.42315625
78;0.370510417
79;0.342875
80;0.31403125
81;0.293205882
